date,JDUT,Ls
2060-10-15,2473747.5,257.5647258920048
2061-01-10,2473834.5,260.7957880833679
2061-04-07,2473921.5,264.0317079746807
2061-07-03,2474008.5,267.26670718132107
2061-09-28,2474095.5,270.51862162162024
2061-12-24,2474182.5,273.7553937584342
2062-03-21,2474269.5,277.0162931603232
2062-06-16,2474356.5,280.2534448025736
2062-09-11,2474443.5,283.5158601793674
2062-12-07,2474530.5,286.75308105382504
2063-03-04,2474617.5,290.0077181659334
2063-05-30,2474704.5,293.2438260435947
2063-08-25,2474791.5,296.48496955858906
2063-11-20,2474878.5,299.71687673891097
2064-02-15,2474965.5,302.9389954870507
2064-05-12,2475052.5,306.16207286332605
2064-08-07,2475139.5,309.36395992840113
2064-11-02,2475226.5,312.57218630046407
2065-01-28,2475313.5,315.7520862831909
2065-04-25,2475400.5,318.93896262273813
2065-07-21,2475487.5,322.0973951589159
2065-10-16,2475574.5,325.2571684942959
2066-01-11,2475661.5,328.3928012220733
2066-04-08,2475748.5,331.521550393914
2066-07-04,2475835.5,334.63273693164456
2066-09-29,2475922.5,337.7286958073613
2066-12-25,2476009.5,340.8122092431424
2067-03-22,2476096.5,343.87556110232896
2067-06-17,2476183.5,346.92821072172535
2067-09-12,2476270.5,349.95930189191796
2067-12-08,2476357.5,352.9785080054548
2068-03-04,2476444.5,355.97794849864385
2068-05-30,2476531.5,358.9625309074465
2068-08-25,2476618.5,1.929869045845876
2068-11-20,2476705.5,4.880185314418037
2069-02-15,2476792.5,7.814517086248829
2069-05-13,2476879.5,10.732290891317765
2069-08-08,2476966.5,13.632693636207806
2069-11-03,2477053.5,16.51998453532605
2070-01-29,2477140.5,19.385873625147973
2070-04-26,2477227.5,22.244128126572456
2070-07-22,2477314.5,25.077231006856213
2070-10-17,2477401.5,27.90686070536147
2071-01-12,2477488.5,30.709551688709116
2071-04-09,2477575.5,33.510019456970404
2071-07-05,2477662.5,36.2868974057
2071-09-30,2477749.5,39.05753867987325
2071-12-26,2477836.5,41.81217331516306
2072-03-22,2477923.5,44.55314275468086
2072-06-17,2478010.5,47.28942501145603
2072-09-12,2478097.5,50.00187016178275
2072-12-08,2478184.5,52.720658688026
2073-03-05,2478271.5,55.40882736856453
2073-05-31,2478358.5,58.11039075025902
2073-08-26,2478445.5,60.77900302902721
2073-11-21,2478532.5,63.46103572254549
2074-02-16,2478619.5,66.11713181118864
2074-05-14,2478706.5,68.77961765570399
2074-08-09,2478793.5,71.42742949418661
2074-11-04,2478880.5,74.06946074798311
2075-01-30,2478967.5,76.71338914240155
2075-04-27,2479054.5,79.33854735085761
2075-07-23,2479141.5,81.97887373437355
2075-10-18,2479228.5,84.59040346297748
2076-01-13,2479315.5,87.22685052902051
2076-04-09,2479402.5,89.83227735612171
2076-07-05,2479489.5,92.46230338997329
2076-09-30,2479576.5,95.06773579421007
2076-12-26,2479663.5,97.69026562168223
2077-03-23,2479750.5,100.30167922983973
2077-06-18,2479837.5,102.91691452344665
2077-09-13,2479924.5,105.53745018705835
2077-12-09,2480011.5,108.14846645664863
2078-03-06,2480098.5,110.77853708482769
2078-06-01,2480185.5,113.38963462220613
2078-08-27,2480272.5,116.02891323062258
2078-11-22,2480359.5,118.64680241069738
2079-02-17,2480446.5,121.2930083827916
2079-05-15,2480533.5,123.92316516058835
2079-08-10,2480620.5,126.57631355574556
2079-11-05,2480707.5,129.22486344161442
2080-01-31,2480794.5,131.8852150643266
2080-04-27,2480881.5,134.55413323511715
2080-07-23,2480968.5,137.22552635187557
2080-10-18,2481055.5,139.91654943575315
2081-01-13,2481142.5,142.60311521386214
2081-04-10,2481229.5,145.31507535705697
2081-07-06,2481316.5,148.022321859442
2081-10-01,2481403.5,150.7553537096639
2081-12-27,2481490.5,153.48741196022186
2082-03-24,2481577.5,156.24152822306303
2082-06-19,2481664.5,159.0017732835066
2082-09-14,2481751.5,161.77867618800025
2082-12-10,2481838.5,164.5682524068867
2083-03-07,2481925.5,167.3704530101386
2083-06-02,2482012.5,170.1896526011517
2083-08-28,2482099.5,173.02030938177663
2083-11-23,2482186.5,175.8686631068829
2084-02-18,2482273.5,178.73045130528288
2084-05-15,2482360.5,181.6082962683424
2084-08-10,2482447.5,184.5026087006073
2084-11-05,2482534.5,187.41126817920644
2085-01-31,2482621.5,190.33808968240896
2085-04-28,2482708.5,193.27909675615402
2085-07-24,2482795.5,196.23732399790472
2085-10-19,2482882.5,199.2129325029835
2086-01-14,2482969.5,202.2014254757554
2086-04-11,2483056.5,205.21218883639278
2086-07-07,2483143.5,208.23011609905984
2086-10-02,2483230.5,211.27605203411213
2086-12-28,2483317.5,214.32410230911864
2087-03-25,2483404.5,217.40217606672408
2087-06-20,2483491.5,220.48145324328146
2087-09-15,2483578.5,223.58810783049003
2087-12-11,2483665.5,226.69983539007964
2088-03-07,2483752.5,229.8305685317654
2088-06-02,2483839.5,232.97497096899764
2088-08-28,2483926.5,236.1266892549929
2088-11-23,2484013.5,239.30160631480052
2089-02-18,2484100.5,242.47218333540067
2089-05-16,2484187.5,245.67428877225097
2089-08-11,2484274.5,248.86345140647
2089-11-06,2484361.5,252.08559296260955
2090-02-01,2484448.5,255.29341365809373
2090-04-29,2484535.5,258.5291800714468
2090-07-25,2484622.5,261.75588849926334
2090-10-20,2484709.5,264.9973585358956
2091-01-15,2484796.5,268.2407702573904
2091-04-12,2484883.5,271.4839134891749
2091-07-08,2484970.5,274.7402794571997
2091-10-03,2485057.5,277.98152603798076
2091-12-29,2485144.5,281.24434048563216
2092-03-25,2485231.5,284.4832210102435
2092-06-20,2485318.5,287.74481242406137
2092-09-15,2485405.5,290.98016162238235
2092-12-11,2485492.5,294.2327360850366
2093-03-08,2485579.5,297.46409767909716
2093-06-03,2485666.5,300.7002760520931
2093-08-29,2485753.5,303.92474287788724
2093-11-24,2485840.5,307.140766632742
2094-02-19,2485927.5,310.3547192425813
2094-05-17,2486014.5,313.5476808501491
2094-08-12,2486101.5,316.744720542044
2094-11-07,2486188.5,319.9149925825076
2095-02-02,2486275.5,323.08972310116246
2095-04-30,2486362.5,326.23624111518524
2095-07-26,2486449.5,329.38266910186593
2095-10-21,2486536.5,332.50520936560304
2096-01-16,2486623.5,335.62042961052924
2096-04-12,2486710.5,338.71679411412725
2096-07-08,2486797.5,341.79861109676386
2096-10-03,2486884.5,344.86648329422576
2096-12-29,2486971.5,347.9152783157439
2097-03-26,2487058.5,350.951550373069
2097-06-21,2487145.5,353.96786299717786
2097-09-16,2487232.5,356.9702276546166
2097-12-12,2487319.5,359.95450189278944
2098-03-09,2487406.5,2.922101315485695
2098-06-04,2487493.5,5.873987322952197
2098-08-30,2487580.5,8.807490481301055
2098-11-25,2487667.5,11.725948434381772
2099-02-20,2487754.5,14.627395344718808
2099-05-18,2487841.5,17.51158255910183
2099-08-13,2487928.5,20.382904623839497
2099-11-08,2488015.5,23.232685111363008
2100-02-03,2488102.5,26.07598995710296
