JDUT,Ls
2428681.5,184.96741251907227
2428768.5,187.876474126357
2428855.5,190.80517332836214
2428942.5,193.74522287093183
2429029.5,196.70657865434026
2429116.5,199.67919609530685
2429203.5,202.6714744699689
2429290.5,205.67869227439076
2429377.5,208.6999242625348
2429464.5,211.74185211603222
2429551.5,214.79035956518595
2429638.5,217.86665814545748
2429725.5,220.9425562540371
2429812.5,224.04975027157778
2429899.5,227.15349413561043
2429986.5,230.28838084699973
2430073.5,233.42230404530824
2430160.5,236.57938769793265
2430247.5,239.74373538631798
2430334.5,242.9195511767143
2430421.5,246.11344028781883
2430508.5,249.30431445598902
2430595.5,252.52310676392324
2430682.5,255.72861702882406
2430769.5,258.96606146604427
2430856.5,262.1851799402865
2430943.5,265.4338763467857
2431030.5,268.66732820485873
2431117.5,271.9193729760564
