 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1906-May-01 00:00, , , 311.6616, -3.2384,   -0.01032,   59.0845,  260.3348981,
 1906-Jun-01 00:00, , , 320.8485, -4.2134,   -0.00974,   68.3188,  269.5540723,
 1906-Jul-01 00:00, , , 329.5370, -5.0348,   -0.00917,   77.0305,  278.2530581,
 1906-Aug-01 00:00, , , 338.3034, -5.7452,   -0.00858,   85.7964,  287.0094932,
 1906-Sep-01 00:00, , , 346.8562, -6.3085,   -0.00800,   94.3306,  295.5335934,
 1906-Oct-01 00:00, , , 354.9346, -6.7121,   -0.00744,  102.3792,  303.5700758,
 1906-Nov-01 00:00, , ,   3.0856, -6.9849,   -0.00687,  110.4908,  311.6674286,
 1906-Dec-01 00:00, , ,  10.7935, -7.1143,   -0.00632,  118.1582,  319.3181821,
 1907-Jan-01 00:00, , ,  18.5854, -7.1158,   -0.00577,  125.9068,  327.0499975,
 1907-Feb-01 00:00, , ,  26.2165, -6.9911,   -0.00522,  133.4924,  334.6243527,
 1907-Mar-01 00:00, , ,  32.9851, -6.7776,   -0.00474,  140.2211,  341.3474192,
 1907-Apr-01 00:00, , ,  40.3581, -6.4384,   -0.00422,  147.5542,  348.6791991,
 1907-May-01 00:00, , ,  47.3898, -6.0158,   -0.00374,  154.5550,  355.6821835,
 1907-Jun-01 00:00, , ,  54.5686, -5.4910,   -0.00325,  161.7158,    2.8440326,
 1907-Jul-01 00:00, , ,  61.4507, -4.9064,   -0.00278,  168.5951,    9.7225739,
 1907-Aug-01 00:00, , ,  68.5155, -4.2319,   -0.00230,  175.6722,   16.7971160,
 1907-Sep-01 00:00, , ,  75.5548, -3.4950,   -0.00183,  182.7385,   23.8588565,
 1907-Oct-01 00:00, , ,  82.3639, -2.7308,   -0.00137,  189.5848,   30.7006036,
 1907-Nov-01 00:00, , ,  89.4193, -1.8975,   -0.00091,  196.6898,   37.7991074,
 1907-Dec-01 00:00, , ,  96.2878, -1.0578,   -0.00046,  203.6173,   44.7161370,
 1908-Jan-01 00:00, , , 103.4506, -0.1657,    0.00000,  210.8483,   51.9334568,
 1908-Feb-01 00:00, , , 110.7039,  0.7403,    0.00047,  218.1740,   59.2425276,
 1908-Mar-01 00:00, , , 117.5930,  1.5897,    0.00090,  225.1278,   66.1816877,
 1908-Apr-01 00:00, , , 125.0910,  2.4868,    0.00137,  232.6809,   73.7276677,
 1908-May-01 00:00, , , 132.5007,  3.3306,    0.00182,  240.1240,   81.1749512,
 1908-Jun-01 00:00, , , 140.3383,  4.1609,    0.00228,  247.9711,   89.0387685,
 1908-Jul-01 00:00, , , 148.1176,  4.9068,    0.00272,  255.7326,   96.8285210,
 1908-Aug-01 00:00, , , 156.3748,  5.5983,    0.00318,  263.9488,  105.0791089,
 1908-Sep-01 00:00, , , 164.8684,  6.1876,    0.00364,  272.3827,  113.5473676,
 1908-Oct-01 00:00, , , 173.3214,  6.6394,    0.00409,  280.7621,  121.9588782,
 1908-Nov-01 00:00, , , 182.2998,  6.9617,    0.00455,  289.6534,  130.8792214,
 1908-Dec-01 00:00, , , 191.2190,  7.1144,    0.00500,  298.4815,  139.7320665,
 1909-Jan-01 00:00, , , 200.6597,  7.0904,    0.00544,  307.8243,  149.0999517,
 1909-Feb-01 00:00, , , 210.3048,  6.8695,    0.00588,  317.3784,  158.6757443,
 1909-Mar-01 00:00, , , 219.1651,  6.4964,    0.00624,  326.1700,  167.4835778,
 1909-Apr-01 00:00, , , 229.1026,  5.8946,    0.00663,  336.0531,  177.3811289,
 1909-May-01 00:00, , , 238.8061,  5.1356,    0.00697,  345.7319,  187.0693134,
 1909-Jun-01 00:00, , , 248.8756,  4.1915,    0.00729,  355.8048,  197.1495502,
 1909-Jul-01 00:00, , , 258.6162,  3.1531,    0.00756,    5.5730,  206.9252845,
 1909-Aug-01 00:00, , , 268.6325,  1.9886,    0.00780,   15.6379,  216.9987540,
 1909-Sep-01 00:00, , , 278.5576,  0.7732,    0.00800,   25.6233,  226.9949563,
 1909-Oct-01 00:00, , , 288.0421, -0.4111,    0.00815,   35.1706,  236.5527951,
 1909-Nov-01 00:00, , , 297.6895, -1.6036,    0.00828,   44.8819,  246.2719678,
 1909-Dec-01 00:00, , , 306.8563, -2.6940,    0.00836,   54.1004,  255.4967511,
 1910-Jan-01 00:00, , , 316.1374, -3.7260,    0.00842,   63.4190,  264.8203703,
